Pair;Affinity
(v, e);0.9748916006963834
(x, e);0.9631490097583069
(q, u);0.9596809102714736
(r, e);0.9475407075524269
(p, e);0.9460596566386393
(f, e);0.9425578889492239
(h, e);0.9416536254946252
(b, e);0.9392770347890312
(t, e);0.9389875659706287
(c, e);0.9377219122495561
(l, e);0.9372041115649723
(k, e);0.9359969300170892
(m, e);0.9353304643413319
(j, e);0.9311592458333047
(s, e);0.931008082823286
(d, e);0.9298617998074922
(a, e);0.929814264568953
(n, e);0.9283889794718327
(o, e);0.9275871614659428
(w, e);0.9242110868078576
(i, e);0.9226867046512301
(y, e);0.9204384989135509
(q, e);0.9186815905015151
(z, a);0.9168282792665726
(z, e);0.9082334273624824
(u, e);0.9073909060103666
(g, e);0.9065449679299317
(h, t);0.8959596277520044
(f, o);0.8902395222831814
(q, t);0.8847937666192567
(t, h);0.8777302518357044
(u, t);0.8749390261758639
(o, t);0.8679139446204056
(e, t);0.8673372129683845
(y, t);0.8607074310810888
(g, t);0.8561938266461501
(q, i);0.8552346793642941
(i, t);0.8548919427664069
(r, t);0.8545653732363143
(w, h);0.8543691043584029
(n, t);0.8537394444910799
(a, t);0.8536665622833367
(f, t);0.853596238729039
(d, a);0.8521056260334788
(e, h);0.852102712741859
(p, t);0.8510246491256115
(z, h);0.8493476727785614
(s, t);0.8482869390552968
(w, t);0.847924159928169
(s, h);0.8420764108160179
(m, t);0.8401610701346041
(i, h);0.8392804804036554
(o, h);0.8392435227372986
(a, h);0.8390287882155638
(j, a);0.8377895019225611
(n, a);0.8373464357208222
(f, h);0.8364699954550174
(d, t);0.8356861778440895
(l, t);0.8343300988141893
(b, t);0.8334032608098272
(k, t);0.832724582225572
(l, h);0.8311979847753252
(s, a);0.8303473913204412
(r, h);0.8291380272806426
(q, n);0.8281491558963576
(c, t);0.828131401314891
(d, h);0.8275798993476934
(m, a);0.8262450194375236
(n, h);0.8252800432702984
(y, a);0.8239387669235336
(k, a);0.8238155580770643
(l, a);0.823057452632586
(u, o);0.8220618565326707
(m, h);0.8202247191011236
(c, h);0.820042577888761
(g, h);0.8158988273803057
(x, t);0.8148803886853049
(p, h);0.8135346398542153
(e, a);0.8132241197962066
(u, h);0.8124625058045407
(c, a);0.8121049474238671
(v, a);0.8117342246164964
(p, a);0.8115908436970491
(h, a);0.8109426534893491
(y, h);0.8104979222021775
(k, h);0.8102242578343921
(b, h);0.8096395361462498
(t, a);0.8083029772831574
(g, n);0.8051324046761538
(b, a);0.8034130864022112
(z, n);0.8022522919605077
(v, t);0.7999642775022172
