Pair;Affinity
(ء, ا);0.942089079388744
(آ, ا);0.9254467921997029
(ل, ا);0.9154741942818166
(ط, ا);0.9151129125651418
(ص, ا);0.9148019407632704
(ز, ا);0.914501584206678
(ذ, ا);0.9136837512271898
(ظ, ا);0.9084152071764203
(ح, ا);0.9060877855856492
(س, ا);0.9023019340333666
(و, ا);0.901155601226139
(ب, ا);0.8976335900830424
(خ, ا);0.8964882595660046
(ن, ا);0.8961464712067793
(ف, ا);0.8960277612307227
(غ, ا);0.895694179389313
(ق, ا);0.8956843935760317
(ض, ا);0.8954228014768026
(إ, ا);0.8950899941061794
(ي, ا);0.8945576660138206
(ى, ل);0.8937058445728966
(ه, ا);0.8934940833393584
(د, ا);0.892484482020548
(ر, ا);0.8921487603305785
(ج, ا);0.8916624488105646
(م, ا);0.8914215859525404
(ت, ا);0.8903661671838989
(ع, ا);0.8892537984201337
(ش, ا);0.8870164687859058
(ئ, ا);0.8858345715700842
(أ, ا);0.877232994711687
(ؤ, ن);0.8756555944055944
(ك, ا);0.8731536309213951
(ة, ا);0.8721594598104142
(ق, ل);0.8712251230351318
(ؤ, م);0.8711756993006993
(ث, ا);0.8711472602739726
(ؤ, ا);0.8578452797202797
(ا, ل);0.8545538956409279
(ى, ا);0.8513458282244409
(ع, ل);0.8494978652792422
(ظ, ل);0.8455360956856044
(إ, ل);0.8435417327832434
(س, ل);0.8432717610689558
(ي, ل);0.8432014707512656
(ؤ, ل);0.8411276223776224
(ذ, ل);0.8398965264683425
(ض, ل);0.8389306525510432
(ه, ل);0.8371653049912033
(ح, ل);0.8355521028284897
(و, ل);0.8354378570433328
(ز, ل);0.8351937606629296
(ئ, ل);0.8302996532937098
(م, ل);0.8299161327074125
(ن, ل);0.8279623100554627
(ث, م);0.8244327910958904
(خ, ل);0.8237005372992549
(أ, ل);0.8236229487342577
(ك, ل);0.8209428682977615
(آ, ل);0.8200852858032677
(غ, ل);0.8181059160305344
(ط, ل);0.8128546612623045
(ة, ل);0.81226464095572
(ص, ل);0.8119342457817366
(ج, ل);0.810863663553122
(إ, ن);0.80845083193544
(د, ل);0.8083663313356164
(ظ, م);0.8058094831268688
(ت, ل);0.8055262041251009
(ب, ل);0.8051059092550247
(ر, ل);0.8043964232488823
(ف, ل);0.8042246995527568
(ش, ل);0.8031057414435431
(ء, ل);0.8029258292955647
(آ, ن);0.7902831680321978
(ث, ل);0.7801262842465754
(ظ, ن);0.7614694574967963
(ك, م);0.7451278630921395
(ز, ن);0.744187180112113
(ي, ن);0.737472746757326
(ك, ن);0.7340903175429464
(م, ن);0.733882469365777
(ه, م);0.7336659195526957
(ذ, ن);0.730516900157392
(أ, ن);0.7279244734403111
(ن, م);0.7278117976948929
(آ, ي);0.7277562167600977
