Pair;Affinity
(q, u);0.8569229333830939
(x, e);0.8392503038444317
(v, e);0.7878827233196448
(z, e);0.674973600844773
(q, e);0.6460160477701063
(r, e);0.5933653001875379
(b, e);0.5913549901459288
(h, t);0.5908240238877239
(f, o);0.5825253511137592
(m, e);0.5639126655872478
(p, e);0.5551469698070265
(h, e);0.548098759137816
(c, e);0.5432900901823539
(j, e);0.5363112796741115
(t, e);0.5356106950822457
(u, o);0.5280827716959042
(s, e);0.526442084842987
(k, e);0.5215907793048311
(l, e);0.5153944216951247
(f, e);0.5011060889362203
(n, e);0.5006047338106293
(x, t);0.4963218831958037
(g, n);0.4880292618044779
(z, i);0.4840549102428722
(d, e);0.48150269806452395
(w, e);0.47997854010512236
(a, e);0.4795351488391482
(y, o);0.4731477888044945
(g, e);0.4588505874528929
(z, a);0.4583949313621964
(t, h);0.4547336069373636
(d, a);0.4518378865060518
(j, o);0.4508006742520017
(g, i);0.4488472622478386
(w, o);0.44338592044288244
(i, e);0.44107958575579786
(m, o);0.4375904701827756
(v, a);0.4365094648031133
(r, o);0.43277610658491034
(o, e);0.4323039860107496
(e, t);0.4269803727087188
(z, n);0.4214361140443506
(n, a);0.42097232068691676
(i, t);0.4197621439373866
(d, n);0.41957713201481667
(y, e);0.41661954131322654
(n, o);0.4159229835360269
(f, r);0.4116651807649466
(k, i);0.40756938363726347
(a, t);0.40706674284173583
(l, o);0.4061968824847408
(p, r);0.4059042153943004
(u, t);0.4056685432176119
(o, t);0.4055950747431739
(c, o);0.4055035066538782
(m, a);0.40522379403544284
(v, i);0.4050049036950126
(k, a);0.4043429017398256
(p, o);0.4040277475121668
(b, t);0.4025028233574703
(s, t);0.40171282650851087
(d, o);0.40165932478895877
(c, a);0.40069010475648403
(l, a);0.4004734702155605
(w, h);0.3990490778465462
(p, a);0.3944214425800828
(n, i);0.3899650699665609
(u, e);0.3892670648429598
(g, o);0.38820005642772215
(t, o);0.3879285231902445
(n, t);0.3879097356818811
(y, a);0.38491803884607567
(j, u);0.3844992274195814
(s, a);0.3833510443905238
(k, n);0.3830566870978795
(s, i);0.37897397432292557
(i, n);0.3783871755828861
(w, t);0.37790408360028616
(r, a);0.3773312370957105
(h, a);0.3764912340695399
(w, i);0.37606327558859204
(r, t);0.3743477153395497
(t, a);0.3720763578960843
(b, o);0.37124659536305055
(x, i);0.37033838674598607
(s, o);0.37025354521223003
(e, r);0.3676831594407462
(i, s);0.3650883158541923
(k, o);0.36265085468458524
(a, n);0.3621731883389319
(u, s);0.35847884592792045
(b, a);0.3575726876148719
(q, i);0.35580332151520805
(c, i);0.3544842038093625
(f, t);0.3541240998437024
(y, t);0.35405370442239104
(o, r);0.35172007489952734
(q, n);0.35118492256017914
(p, s);0.3511628047747028
(l, i);0.35083394498956966
(g, a);0.35041363535599845
(e, a);0.3494182386938028
(v, o);0.3474637372873386
(g, t);0.3469977428911146
(z, o);0.34614572333685323
(m, t);0.34575459481275156
(j, t);0.34565950273914875
(h, i);0.3441010471863376
(h, o);0.3439355056322988
(o, n);0.3419661251002225
(t, i);0.34019018291512115
(u, r);0.34010179017288666
(w, a);0.33759485895561847
(p, i);0.3372375971526113
(f, i);0.3366378898268721
(e, h);0.3362918915825815
(p, t);0.3338175831093678
(e, o);0.3296149884601446
(e, s);0.32765464359967195
(a, s);0.3274441628235559
(i, h);0.3267882198290147
(f, a);0.3267820259992041
(k, t);0.32533216583545893
(m, i);0.32458675683362703
(c, n);0.3239218590287721
(j, s);0.32325467059980334
(a, r);0.3208848611212002
(q, a);0.3197891397648815
(d, i);0.3189843433702542
(v, r);0.31830130630852527
(b, r);0.31804291503354815
(z, t);0.31752903907074975
(a, h);0.31702048153899814
(j, a);0.3145104649529428
(e, n);0.3138215995574799
(y, r);0.3137273382491545
(t, s);0.3136337235211535
(i, a);0.3108101026458221
(c, t);0.30844373893400084
(h, s);0.3068938342377239
(t, n);0.3050421741411292
(s, h);0.3025380570651029
(q, t);0.3024818063071469
(l, t);0.30239318550567873
(o, s);0.30223672903707577
(g, r);0.30052548316237077
(g, h);0.30038441385703635
(x, n);0.3000063967248769
(d, t);0.29838116128564435
(c, r);0.29681988541582555
(j, n);0.29554712740553446
(d, r);0.29454163116581766
(r, s);0.29345633723261233
(r, i);0.29335167926025285
(i, o);0.2925712235939988
(s, r);0.29216578775385743
(t, r);0.29098332953493894
(w, n);0.2904103038596709
(c, s);0.2897258291005989
(l, s);0.28736213590357723
(m, n);0.28703060772128747
(c, h);0.2862142515297913
(e, i);0.284966715623629
(m, r);0.2846646783750244
(m, s);0.28440885928520016
(w, r);0.2821606848505583
(b, i);0.28184304346863304
(i, r);0.2813604132699267
(j, i);0.2805871611181346
